,Country,Ground.Truth.Internet.GG,Jun_Internet_online_model,Sep_Internet_online_model,Oct_Internet_online_model,Nov_Internet_online_model,Jun_Internet_online_offline_model,Sep_Internet_online_offline_model,Oct_Internet_online_offline_model,Nov_Internet_online_offline_model,Internet.Offline.model.prediction,Mobile_GG,Jun_Mobile_online_model,Sep_Mobile_online_model,Oct_Mobile_online_model,Nov_Mobile_online_model,Jun_Mobile_online_offline_model,Sep_Mobile_online_offline_model,Oct_Mobile_online_offline_model,Nov_Mobile_online_offline_model,Mobile.Offline.model.prediction,Sep_ Jun_ Internet_online_model perc_change _,Oct_ Sep_ Internet_online_model perc_change _,Nov_ Oct_ Internet_online_model perc_change _,Sep_ Jun_ Internet_online_offline_model perc_change _,Oct_ Sep_ Internet_online_offline_model perc_change _,Nov_ Oct_ Internet_online_offline_model perc_change _,Sep_ Jun_ Mobile_online_model perc_change _,Oct_ Sep_ Mobile_online_model perc_change _,Nov_ Oct_ Mobile_online_model perc_change _,Sep_ Jun_ Mobile_online_offline_model perc_change _,Oct_ Sep_ Mobile_online_offline_model perc_change _,Nov_ Oct_ Mobile_online_offline_model perc_change _,Numeric Country
22,BWA,NA,0.949,0.958,0.960,0.960,0.923,0.936,0.938,0.939,0.917,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NA,1.010,0.189,0.056,1.355,0.253,0.075,0.000,0.000,0.000,0.000,0.000,0.000,072
23,BRA,0.985,0.986,0.986,0.986,0.986,0.972,0.972,0.972,0.972,0.935,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.941,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,076
25,BGR,0.972,0.955,0.955,0.979,0.979,0.944,0.944,0.975,0.975,0.932,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,2.459,0.000,0.000,3.247,0.000,0.000,0.000,0.000,NA,NA,NA,100
26,BFA,NA,0.698,0.710,0.715,0.714,0.896,0.912,0.918,0.917,0.698,NA,0.736,0.761,0.749,0.762,0.819,0.856,0.832,0.863,0.803,1.731,0.619,-0.052,1.760,0.629,-0.053,3.389,-1.593,1.735,4.613,-2.825,3.688,854
27,BDI,0.529,0.702,0.738,0.748,0.743,0.643,0.689,0.702,0.696,0.666,0.58,0.691,0.734,0.743,0.746,0.526,0.589,0.593,0.596,0.624,5.003,1.430,-0.639,7.137,1.999,-0.889,6.354,1.216,0.326,11.983,0.709,0.579,108
28,KHM,0.969,0.805,0.817,0.818,0.815,0.864,0.879,0.880,0.876,0.739,NA,0.869,0.869,0.869,0.868,0.882,0.875,0.879,0.868,0.907,1.471,0.086,-0.368,1.790,0.104,-0.446,-0.005,0.024,-0.188,-0.782,0.547,-1.316,116
29,CMR,NA,0.847,0.863,0.874,0.847,0.950,0.971,0.984,0.949,0.784,NA,0.915,0.938,0.935,0.931,0.996,1.000,1.000,1.000,0.880,1.903,1.219,-3.064,2.216,1.415,-3.550,2.517,-0.363,-0.440,0.398,0.000,0.000,120
30,CAN,NA,0.986,0.986,0.986,0.986,0.992,0.992,0.992,0.992,NA,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,124
32,CAF,NA,0.727,0.733,0.735,0.734,NA,NA,NA,NA,NA,NA,0.752,0.770,0.775,0.765,0.692,0.680,0.673,0.674,0.631,0.847,0.221,-0.183,NA,NA,NA,2.351,0.700,-1.265,-1.751,-0.963,0.117,140
33,TCD,NA,0.655,0.657,0.660,0.660,0.996,0.999,1.000,1.000,0.584,0.81,0.661,0.668,0.671,0.671,NA,NA,NA,NA,NA,0.327,0.407,0.000,0.280,0.140,0.000,1.006,0.426,0.000,NA,NA,NA,148
